category,date,percent,downloads
without_mirrors,2023-06-10,0.31%,154628
with_mirrors,2023-07-22,0.31%,154463
without_mirrors,2023-07-22,0.30%,153493
with_mirrors,2023-06-11,0.30%,152575
without_mirrors,2023-06-11,0.30%,152527
with_mirrors,2023-08-20,0.30%,151423
without_mirrors,2023-08-20,0.30%,149706
with_mirrors,2023-08-13,0.30%,149489
without_mirrors,2023-08-13,0.29%,147784
with_mirrors,2023-08-19,0.29%,147526
without_mirrors,2023-08-19,0.29%,145965
with_mirrors,2023-08-12,0.28%,141944
with_mirrors,2023-07-16,0.28%,141935
without_mirrors,2023-07-16,0.28%,141116
without_mirrors,2023-08-12,0.28%,140039
with_mirrors,2023-05-28,0.28%,139429
without_mirrors,2023-05-28,0.28%,139367
with_mirrors,2023-05-27,0.27%,138373
without_mirrors,2023-05-27,0.27%,138258
with_mirrors,2023-07-15,0.26%,129040
without_mirrors,2023-07-15,0.25%,128116
with_mirrors,2023-07-09,0.24%,123171
with_mirrors,2023-05-21,0.24%,121824
without_mirrors,2023-07-09,0.24%,121641
without_mirrors,2023-05-21,0.24%,121515
with_mirrors,2023-05-20,0.24%,120588
without_mirrors,2023-05-20,0.24%,120239
with_mirrors,2023-07-08,0.24%,119284
without_mirrors,2023-07-08,0.23%,118139
with_mirrors,2023-07-01,0.23%,113377
without_mirrors,2023-07-01,0.22%,112527
with_mirrors,2023-07-02,0.22%,112016
without_mirrors,2023-07-02,0.22%,111114
with_mirrors,2023-05-14,0.16%,81301
without_mirrors,2023-05-14,0.16%,81161
with_mirrors,2023-05-13,0.16%,78666
without_mirrors,2023-05-13,0.16%,78351
Total,,,50345527
