category,date,percent,downloads
with_mirrors,2023-06-03,0.12%,28429
without_mirrors,2023-06-03,0.12%,28329
with_mirrors,2023-05-21,0.12%,27450
with_mirrors,2023-05-28,0.11%,27063
with_mirrors,2023-05-27,0.11%,26946
without_mirrors,2023-05-21,0.11%,26842
without_mirrors,2023-05-28,0.11%,26796
without_mirrors,2023-05-27,0.11%,26697
with_mirrors,2023-05-20,0.11%,25573
without_mirrors,2023-05-20,0.10%,24799
with_mirrors,2023-05-06,0.10%,24149
with_mirrors,2023-05-14,0.10%,23742
without_mirrors,2023-05-06,0.10%,23598
without_mirrors,2023-05-14,0.10%,23534
with_mirrors,2023-05-07,0.10%,23043
without_mirrors,2023-05-07,0.10%,22595
with_mirrors,2023-05-13,0.09%,21711
without_mirrors,2023-05-13,0.09%,20905
Total,,,23712608
