category,date,percent,downloads
with_mirrors,2023-09-17,0.26%,8211
without_mirrors,2023-09-17,0.26%,8079
without_mirrors,2023-07-09,0.26%,8069
without_mirrors,2023-07-08,0.26%,8003
without_mirrors,2023-08-13,0.25%,7892
with_mirrors,2023-06-25,0.24%,7617
with_mirrors,2023-08-12,0.24%,7581
with_mirrors,2023-05-29,0.24%,7438
without_mirrors,2023-05-29,0.24%,7364
without_mirrors,2023-06-25,0.24%,7359
with_mirrors,2023-09-16,0.23%,7247
without_mirrors,2023-09-16,0.23%,7087
without_mirrors,2023-08-12,0.23%,7081
with_mirrors,2023-09-10,0.22%,6881
with_mirrors,2023-08-26,0.22%,6780
with_mirrors,2023-07-29,0.21%,6651
with_mirrors,2023-08-27,0.21%,6632
without_mirrors,2023-07-29,0.21%,6536
without_mirrors,2023-09-10,0.20%,6364
with_mirrors,2023-07-30,0.20%,6337
without_mirrors,2023-08-27,0.20%,6319
with_mirrors,2023-09-03,0.20%,6212
with_mirrors,2023-06-17,0.20%,6191
without_mirrors,2023-07-30,0.19%,6083
with_mirrors,2023-08-19,0.19%,5968
without_mirrors,2023-09-03,0.19%,5920
without_mirrors,2023-06-17,0.19%,5849
without_mirrors,2023-08-26,0.19%,5845
with_mirrors,2023-07-02,0.19%,5823
with_mirrors,2023-08-20,0.19%,5809
with_mirrors,2023-09-02,0.19%,5801
without_mirrors,2023-08-19,0.19%,5788
with_mirrors,2023-09-09,0.18%,5661
with_mirrors,2023-07-01,0.18%,5599
without_mirrors,2023-09-09,0.18%,5588
without_mirrors,2023-07-02,0.18%,5583
without_mirrors,2023-08-20,0.18%,5532
without_mirrors,2023-09-02,0.18%,5531
with_mirrors,2023-08-05,0.17%,5457
without_mirrors,2023-07-01,0.17%,5413
with_mirrors,2023-08-06,0.17%,5412
with_mirrors,2023-06-18,0.16%,5156
without_mirrors,2023-08-05,0.16%,5152
without_mirrors,2023-06-18,0.16%,5015
without_mirrors,2023-08-06,0.16%,4970
with_mirrors,2023-05-13,0.16%,4948
with_mirrors,2023-05-20,0.15%,4664
with_mirrors,2023-06-24,0.15%,4659
without_mirrors,2023-05-13,0.15%,4633
with_mirrors,2023-06-03,0.15%,4621
without_mirrors,2023-06-24,0.15%,4605
with_mirrors,2023-05-06,0.15%,4540
without_mirrors,2023-05-06,0.14%,4455
with_mirrors,2023-05-21,0.14%,4429
without_mirrors,2023-06-03,0.14%,4415
with_mirrors,2023-06-11,0.14%,4391
without_mirrors,2023-05-20,0.14%,4368
with_mirrors,2023-05-14,0.14%,4281
without_mirrors,2023-05-21,0.14%,4277
with_mirrors,2023-06-10,0.13%,4180
without_mirrors,2023-05-14,0.13%,4133
with_mirrors,2023-06-04,0.13%,4119
without_mirrors,2023-06-10,0.13%,4081
without_mirrors,2023-06-11,0.13%,4018
without_mirrors,2023-06-04,0.13%,4010
with_mirrors,2023-05-27,0.12%,3832
with_mirrors,2023-05-07,0.12%,3715
without_mirrors,2023-05-27,0.12%,3667
without_mirrors,2023-05-07,0.12%,3653
with_mirrors,2023-05-28,0.11%,3385
without_mirrors,2023-05-28,0.10%,3240
Total,,,3127814
